Lithuanian,Germany,French,Czech,Arabic,Class
Pakeisti kompiuterį 18 val. į tą patį kitos dienos laiką.,ändere meine Weckzeit auf 7 Uhr morgens,modifier mon réveil pour 6 heures du matin,Přenastavit budík z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti skambutį 10 val. į tą patį kitos dienos laiką.,stelle meinen Wecker auf 5 Uhr morgens um,ajuster mon alarme à 6h du matin,Změnit čas budíku z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pasimatymą 20 val. į tą patį kitos dienos laiką.,ändere meinen Alarm auf 6:30 Uhr morgens,changer l'heure de mon réveil à 6 heures,Přepnout budík z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pietus 12 val. į tą patį kitos dienos laiką.,setze meinen Wecker auf 8 Uhr morgens um,mettre mon réveil à 6h du matin,Nastavit nový čas budíku na 18:00.,,alarm__modify_alarm
Pakeisti treniruotę 16 val. į tą patį kitos dienos laiką.,ändere meine Weckuhr auf 6 Uhr früh,ajouter une alarme pour 6 heures du matin,Přenastavit časovou hodinu budíku z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti susitikimą 15 val. į tą patį kitos dienos laiką.,stelle meinen Wecker auf 5:45 Uhr morgens um,ajuster mon réveil pour 6h du matin,Změnit budík z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pamoką 13 val. į tą patį kitos dienos laiką.,ändere meine Weckzeit auf 6:15 Uhr morgens,programmer mon alarme à 6 heures,Přenastavit budící hodiny z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pirkinius 11 val. į tą patį kitos dienos laiką.,setze meinen Alarm auf 7:30 Uhr morgens um,changer l'heure de mon alarme pour 6h du matin,Nastavit budík na nový čas 18:00.,,alarm__modify_alarm
Pakeisti darbą 9 val. į tą patį kitos dienos laiką.,ändere meine Weckuhr auf 6 Uhr a.m.,définir mon réveil à 6 heures du matin,Změnit hodiny buzení z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti valandą 17 val. į tą patį kitos dienos laiką.,stelle meinen Wecker auf 6:45 Uhr morgens um,mettre en place une alarme à 6h du matin,Přepnout čas budíku na 18:00.,,alarm__modify_alarm
"noriu, kad šiandien nustatytas telefono skambutis būtų pakeistas į kitą dieną",Ändern Sie den Wecker von 16:30 Uhr auf 17:30 Uhr,Modifiez cette alarme pour sonner à 4 heures du matin.,Posuňte budík z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad dabar nustatyta parduotuvės uždarymo valanda būtų pakeista į kitą dieną",Ändern Sie die Alarmzeit von 15:45 Uhr auf 16:45 Uhr,Ajustez cette alarme pour qu'elle sonne à 4h du matin.,Nastavte budík z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad ši minutė nustatytas kompiuterio miego režimas būtų pakeistas į kitą dieną",Ändern Sie den Alarm von 17:15 Uhr auf 18:15 Uhr,Changez l'heure de cette alarme à 4 heures du matin.,Přesuňte čas budíku z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad šiuo metu nustatyta susitikimo vieta būtų pakeista į kitą dieną",Ändern Sie die Weckzeit von 16:20 Uhr auf 17:20 Uhr,Programmez cette alarme pour sonner à 4h du matin.,Změňte časový údaj budíku z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad dabartinis virtuvės laikmatis būtų pakeistas į kitą dieną",Ändern Sie den Wecker von 16:50 Uhr auf 17:50 Uhr,Modifiez l'heure de cette alarme pour 4 heures du matin.,Přenastavte budík na 5:30 z původních 5 hodin.,,alarm__modify_alarm
"noriu, kad šiuo momentu nustatytas darbo pradžios laikas būtų pakeistas į kitą dieną",Ändern Sie die Alarmeinstellung von 16:10 Uhr auf 17:10 Uhr,Réglez cette alarme pour qu'elle sonne à 4h du matin.,Přesuňte budící hodiny z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad šiandien nustatyta sporto treniruotės valanda būtų pakeista į kitą dieną",Ändern Sie den Wecker von 17:25 Uhr auf 18:25 Uhr,Adaptez cette alarme pour sonner à 4 heures.,Nastavte nový čas budíku na 5:30 z původních 5 hodin.,,alarm__modify_alarm
"noriu, kad šiuo metu nustatyta automobilio plovimo data būtų pakeista į kitą dieną",Ändern Sie die Alarmzeit von 16:40 Uhr auf 17:40 Uhr,Changer cette alarme pour qu'elle sonne à 4h du matin.,Změňte hodiny buzení z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad šiandien nustatyta teatro spektaklio pradžios laikas būtų pakeistas į kitą dieną",Ändern Sie den Wecker von 17:55 Uhr auf 18:55 Uhr,Définissez cette alarme pour sonner à 4 heures du matin.,Přenastavte budík z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad dabartinės šios dienos kelionės datos būtų pakeistos į kitą dieną",Ändern Sie die Alarmeinstellung von 17:30 Uhr auf 18:30 Uhr,Mettez en place cette alarme pour qu'elle sonne à 4h du matin.,Přesuňte čas buzení na 5:30.,,alarm__modify_alarm
"pakeiskite tą pirmadienio 08:30 telefono skambutį, kad kitą dieną skambėtų tuo pačiu laiku",Ändere meine Weckzeit auf 7 Uhr statt auf 6 Uhr.,"Modifiez l'alarme du jeudi, s'il vous plaît.",Změnit číslo budíku 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą antradienio 12:15 kompiuterio signalą, kad kitą dieną skambėtų tuo pačiu laiku",Setze meinen Alarm auf 6:45 Uhr um statt auf 6 Uhr.,"Ajustez l'alarme du jeudi, s'il vous plaît.",Přenastavit číslo budíku 2 z rána na odpoledne.,,alarm__modify_alarm
"pakeiskite tą trečiadienio 19:00 darbo pradžios laiką, kad kitą dieną skambėtų tuo pačiu laiku",Ändere meinen Wecker auf 7:15 Uhr statt auf 6 Uhr.,"Changez l'heure de l'alarme du jeudi, s'il vous plaît.",Změnit nastavení budíku 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą penktadienio 14:00 susitikimo pranešimą, kad kitą dieną skambėtų tuo pačiu laiku",Verändere meine Weckzeit auf 6:30 Uhr anstelle von 6 Uhr.,"Programmez une nouvelle alarme pour le jeudi, s'il vous plaît.",Přesunout číslo budíku 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą šeštadienio 21:45 televizoriaus išjungimo laiką, kad kitą dieną skambėtų tuo pačiu laiku","Stelle meinen Wecker auf 7:30 Uhr um, nicht auf 6 Uhr.","Adaptez l'alarme du jeudi, s'il vous plaît.",Nastavit budík číslo 2 z rána na odpoledne.,,alarm__modify_alarm
"pakeiskite tą sekmadienio 10:20 automobilio užrakto laiką, kad kitą dieną skambėtų tuo pačiu laiku",Ändere meinen Alarm auf 6:20 Uhr anstatt auf 6 Uhr.,"Réglez la sonnerie du jeudi, s'il vous plaît.",Změnit čas budíku 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą antradienio 18:30 pietų valandą, kad kitą dieną skambėtų tuo pačiu laiku","Stell meinen Wecker auf 6:35 Uhr um, nicht auf 6 Uhr.","Modifiez la programmation de l'alarme du jeudi, s'il vous plaît.",Posunout nastavení budíku 2 z rána na odpoledne.,,alarm__modify_alarm
"pakeiskite tą ketvirtadienio 15:00 susitikimo vietą, kad kitą dieną skambėtų tuo pačiu laiku",Ändere meine Weckuhr auf 6:30 Uhr anstelle von 6 Uhr.,"Changer l'horaire de l'alarme du jeudi, s'il vous plaît.",Přesunout budík číslo 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą penktadienio 08:45 kavinės atidarymo valandą, kad kitą dieną skambėtų tuo pačiu laiku",Setze meinen Wecker auf 6:25 Uhr statt auf 6 Uhr um.,"Définissez une nouvelle alarme pour le jeudi, s'il vous plaît.",Změnit program budíku 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą sekmadienio 09:10 lauko pasivaikščiojimo laiką, kad kitą dieną skambėtų tuo pačiu laiku",Ändere meinen Weckzeitpunkt auf 6:30 Uhr anstatt auf 6 Uhr.,"Mettez en place une autre alarme pour le jeudi, s'il vous plaît.",Přenastavit nastavení budíku 2 z rána na odpoledne.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 07:30 telefono skambutį į kitą dieną,Alarm umplanen,Modifiez l'alarme de 19h00 à 7h00.,Změňte můj budík na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 09:15 kompiuterio signalą į kitą dieną,Ändere den Alarm,Ajustez l'heure de l'alarme de 19h00 à 7h00.,Nastavte mé probuzení na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 10:00 darbo pradžios laiką į kitą dieną,Neuen Alarm einstellen,Changez la sonnerie de 19h00 à 7h00.,Přenastavte mé budící hodiny na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 13:20 susitikimo pranešimą į kitą dieną,Alarm neu konfigurieren,Programmez l'alarme de 19h00 à 7h00.,Změňte nastavení mého budíku na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 16:50 televizoriaus išjungimo laiką į kitą dieną,Stelle den Wecker neu ein,Réglez l'heure de l'alarme de 19h00 à 7h00.,Přesuňte mé buzení na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 18:10 automobilio užrakto laiką į kitą dieną,Planen Sie den Alarm neu,Adaptez la programmation de l'alarme de 19h00 à 7h00.,Nastavte můj budík na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 12:30 pietų valandą į kitą dieną,Ändern Sie die Alarmeinstellungen,Changer l'horaire de l'alarme de 19h00 à 7h00.,Přesunout čas mého budíku na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 15:45 susitikimo vietą į kitą dieną,Weckzeit neu festlegen,Définissez la nouvelle heure de l'alarme de 19h00 à 7h00.,Změňte mé buzení na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 07:55 kavinės atidarymo valandą į kitą dieną,Alarm neu einrichten,Mettez en place la sonnerie de 19h00 à 7h00.,Nastavte můj budík na zítra na 9 hodin ráno.,,alarm__modify_alarm
Prašau perkelti mano šiandienos 09:30 lauko pasivaikščiojimo laiką į kitą dieną,Wecker neu planen,Ajoutez une alarme de 19h00 à 7h00.,Přenastavit probuzení na zítra na 9 hodin ráno.,,alarm__modify_alarm
pakeisti telefono skambutį 09 val. į kitą dieną,Ändere eine meiner Alarmzeiten.,Reporter mes alarmes d'aujourd'hui à demain.,Změnit budík z 5:00 ráno do 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti kompiuterio signalą 12:30 į kitą dieną,Modifiziere eine meiner Weckzeiten.,Décaler mes alarmes d'aujourd'hui à demain.,Přenastavit budík z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti darbo pradžios laiką 08:45 į kitą dieną,Stelle eine meiner Weckzeiten um.,Changer l'heure de mes alarmes d'aujourd'hui à demain.,Změnit nastavení budíku z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti susitikimo pranešimą 14 val. į kitą dieną,Verändere eine meiner Alarmeinstellungen.,Programmer mes alarmes d'aujourd'hui pour demain.,Přesunout budík z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti televizoriaus išjungimo laiką 20:15 į kitą dieną,Ändere eine meiner Weckerzeiten.,Déplacer mes alarmes d'aujourd'hui à demain.,Nastavit budík z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti automobilio užrakto laiką 17:50 į kitą dieną,Passe eine meiner Weckzeiten an.,Ajouter un jour à mes alarmes d'aujourd'hui.,Změnit čas budíku z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti pietų valandą 13:20 į kitą dieną,Ändere eine meiner Alarmzeitpunkte.,Reporter mes alertes d'aujourd'hui à demain.,Posunout nastavení budíku z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti susitikimo vietą 16:40 į kitą dieną,Neu konfiguriere eine meiner Weckzeiten.,Changer la date de mes alarmes d'aujourd'hui à demain.,Přesunout budící hodiny z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti kavinės atidarymo valandą 10:10 į kitą dieną,Ändere eine meiner Alarme.,Modifier le planning de mes alarmes d'aujourd'hui à demain.,Změnit program budíku z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pakeisti lauko pasivaikščiojimo laiką 11:25 į kitą dieną,Weckerzeit neu festlegen.,Mettre en attente mes alarmes d'aujourd'hui jusqu'à demain.,Přenastavit nastavení budíku z 5:00 ráno na 7:00 ráno v úterý.,,alarm__modify_alarm
pyptelėkite kas 5 minutes 08:00 valandą,Setzen Sie den Alarm für 20 Minuten auf Schlummer.,Peux-tu répéter la sonnerie?,Prosím odložte na dalších 10 minut.,,alarm__snooze_alarm
pyptelėkite kas 5 minutes 12:45 valandą,Aktivieren Sie die Schlummerfunktion für den Wecker für 20 Minuten.,Est-ce que tu peux répéter l'alarme?,"Přesuňte na dalších 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 15:30 valandą,Legen Sie den Wecker für 20 Minuten auf Snooze.,Pouvez-vous redire l'heure de l'alarme?,"Odstupte na dalších 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 18:15 valandą,Schalten Sie den Schlummermodus des Weckers für 20 Minuten ein.,"Répète l'heure de l'alarme, s'il te plaît.","Posuňte o 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 21:20 valandą,Stellen Sie den Wecker für 20 Minuten auf Schlummertaste.,Peux-tu répéter le moment de la sonnerie?,"Přenastavte na dalších 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 10:55 valandą,Aktivieren Sie die Snooze-Funktion des Weckers für 20 Minuten.,Est-ce que tu pourrais répéter l'heure prévue pour l'alarme?,"Odsuňte na dalších 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 14:10 valandą,Legen Sie die Schlummerzeit des Weckers auf 20 Minuten fest.,"Répète le timing de l'alarme, s'il te plaît.","Nastavte na dalších 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 17:25 valandą,Schalten Sie den Wecker für 20 Minuten in den Schlummermodus.,Pouvez-vous répéter l'heure du réveil?,"Přesuňte o 10 minut dopředu, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 19:50 valandą,Setzen Sie den Alarm für 20 Minuten auf Schlummertaste.,Est-ce que tu peux redire l'heure de la sonnerie?,"Zpožděte na dalších 10 minut, prosím.",,alarm__snooze_alarm
pyptelėkite kas 5 minutes 22:05 valandą,Aktivieren Sie die Schlummeroption für den Wecker für 20 Minuten.,Peux-tu répéter l'horaire de l'alarme?,"Nastavte čas na dalších 10 minut, prosím.",,alarm__snooze_alarm
atidėti tą telefono skambutį,"Aktiviere die Schlummerfunktion, bitte.",Autoriser deux rappels pour la prochaine alarme.,Odložit ranní budíky na pět minut.,,alarm__snooze_alarm
atidėti tą darbo susitikimą,"Setze den Wecker auf Snooze, bitte.",Donner la permission de répéter deux fois pour la prochaine sonnerie.,Posunout čas ranních budíků o pět minut.,,alarm__snooze_alarm
atidėti tą kompiuterio signalą,"Schalte den Schlummeralarm ein, bitte.",Permettre deux rappels pour le prochain réveil.,Přesunout ranní budíky na pět minut.,,alarm__snooze_alarm
atidėti tą pietų valandą,"Bitte, aktiviere die Weckzeit noch einmal.",Activer deux répétitions pour la prochaine alarme.,Zpozdit ranní budíky o pět minut.,,alarm__snooze_alarm
atidėti tą automobilio užrakto laiką,"Stelle den Wecker in den Schlummermodus, bitte.",Autoriser deux fois la sonnerie pour le prochain réveil.,Nastavit pětiminutové zpoždění pro ranní budíky.,,alarm__snooze_alarm
atidėti tą kavinės susitikimą,"Aktiviere den Alarm für eine Weile, bitte.",Donner la permission de répéter deux fois pour la prochaine alerte.,Odsunout čas probuzení o pět minut.,,alarm__snooze_alarm
atidėti tą susitikimą su draugais,"Schalte den Snooze-Modus ein, bitte.",Activer deux rappels pour la prochaine sonnerie.,Změnit čas ranních budíků na pět minut.,,alarm__snooze_alarm
atidėti tą televizoriaus išjungimo laiką,"Bitte, aktiviere den Wecker erneut.",Permettre deux répétitions pour le prochain réveil.,Posunout probuzení o pět minut.,,alarm__snooze_alarm
atidėti tą lauko pasivaikščiojimą,"Setze den Alarm in den Schlummermodus, bitte.",Autoriser deux fois la sonnerie pour la prochaine alarme.,Odstoupit ranní budíky o pět minut.,,alarm__snooze_alarm
atidėti tą miego režimą,"Schalte die Schlummerfunktion des Alarms ein, bitte.",Activer deux rappels pour la prochaine alerte.,Přenastavit ranní budíky na pět minut.,,alarm__snooze_alarm
leisk man pasnausti pusvalandį,Deaktiviere den Wecker für eine Stunde.,Répéter toutes les sonneries pendant 5 minutes.,Můžete odložit budík na 5 minut?,,alarm__snooze_alarm
leisk man ilsėtis 45 minutes,Setze den Alarm für eine Stunde aus.,Refaire toutes les alertes pendant 5 minutes.,Lze prosím odložit budík na 5 minut?,,alarm__snooze_alarm
leisk man trumpam pasnausti,Pausiere den Wecker für 60 Minuten.,Relancer toutes les alarmes pendant 5 minutes.,Je možné posunout budík o 5 minut?,,alarm__snooze_alarm
leisk man miegoti 30 minučių,Unterbreche den Alarm für eine Stunde.,Rejouer toutes les sonneries pendant 5 minutes.,Mohu si prosím odložit budík na 5 minut?,,alarm__snooze_alarm
leisk man atsipalaiduoti valandą,Setze den Wecker für eine Stunde auf Pause.,Répéter toutes les alarmes pendant une durée de 5 minutes.,Dáte se budík přesunout na 5 minut?,,alarm__snooze_alarm
leisk man pasnausti 20 minučių,Deaktiviere den Alarm für 60 Minuten.,Refaire toutes les sonneries pour 5 minutes.,Bude možné budík odložit na 5 minut?,,alarm__snooze_alarm
leisk man ilsėtis 50 minutes,Pause den Wecker für eine Stunde.,Relancer toutes les alertes pendant une période de 5 minutes.,Lze posunout budík na 5 minut?,,alarm__snooze_alarm
leisk man miegoti trumpam,Setze die Weckzeit für eine Stunde aus.,Rejouer toutes les alarmes pendant 5 minutes.,Mohu budík přesunout na 5 minut?,,alarm__snooze_alarm
leisk man pasnausti 40 minutes,Deaktiviere den Wecker für eine Stunde lang.,Répéter toutes les sonneries pendant 5 minutes.,Je možné odložit budík na 5 minut?,,alarm__snooze_alarm
leisk man ilsėtis 25 minutes,Pausiere die Alarmfunktion für 60 Minuten.,Refaire toutes les alertes pendant une durée de 5 minutes.,Mohu prosím budík odložit na 5 minut?,,alarm__snooze_alarm
nustatykite miego režimą 15 minučių,Genehmigen Sie zwei Schlummerphasen für den kommenden Alarm.,Répétition de la sonnerie pendant 15 minutes.,Odložit všechny moje budíky na 30 minut.,,alarm__snooze_alarm
nustatykite ilsėjimosi laiką 8 minutes,Ermöglichen Sie zwei Snooze-Intervalle für den nächsten Wecker.,Répéter l'alerte pendant un quart d'heure.,Posunout čas všech mých budíků o 30 minut.,,alarm__snooze_alarm
nustatykite susikaupimo momentą 12 minučių,Stellen Sie zwei Schlummerzeiten für den nächsten Alarm ein.,Refaire sonner l'alarme pendant 15 minutes.,Přesunout všechny moje budíky na 30 minut.,,alarm__snooze_alarm
nustatykite tylos režimą 20 minučių,Erlauben Sie zwei Pausen für den kommenden Wecker.,Relancer la sonnerie pendant un quart d'heure.,Zpozdit všechny moje budíky o 30 minut.,,alarm__snooze_alarm
nustatykite meditacijos laiką 7 minutes,Ermöglichen Sie zwei Mal Schlummern für den nächsten Alarm.,Répéter l'alarme pendant une durée de 15 minutes.,Nastavit třicetiminutové zpoždění pro všechny moje budíky.,,alarm__snooze_alarm
nustatykite pasnūdimo laiką 25 minučių,Aktivieren Sie zwei Snooze-Intervalle für den nächsten Weckzeitpunkt.,Répétition de l'alerte pendant 15 minutes.,Odsunout čas všech probuzení o 30 minut.,,alarm__snooze_alarm
nustatykite koncentracijos momentą 15 minučių,Setzen Sie zwei Pausen für den kommenden Alarm.,Refaire retentir l'alarme pendant une période de 15 minutes.,Změnit čas všech mojích budíků na 30 minut.,,alarm__snooze_alarm
nustatykite relax režimą 18 minutes,Erlauben Sie zwei Schlummerintervalle für den nächsten Wecker.,Relancer l'alerte pendant 15 minutes.,Posunout probuzení o 30 minut.,,alarm__snooze_alarm
nustatykite susikaupimo valandą 11 minučių,Genehmigen Sie zwei Pausen für den anstehenden Alarm.,Répéter la sonnerie pendant un quart d'heure.,Odstoupit všechny moje budíky o 30 minut.,,alarm__snooze_alarm
nustatykite ilsėjimosi laiką 30 minutes,Aktivieren Sie zwei Schlummerphasen für den nächsten Weckzeitpunkt.,Refaire retentir l'alarme pendant 15 minutes.,Přenastavit všechny moje budíky na 30 minut.,,alarm__snooze_alarm
nustatyti telefono signalą į meditacijos laiką,Setzen Sie alle Alarme für 5 Minuten in den Schlummermodus.,Suspendre l'alarme.,Pozastavit budík po 10 minutách.,,alarm__snooze_alarm
nustatyti kompiuterio skambutį į ilsėjimosi režimą,Aktivieren Sie den Schlummermodus für alle Wecker für 5 Minuten.,Mettre en pause la sonnerie.,Zastavit budík po 10 minutách.,,alarm__snooze_alarm
nustatyti darbo pradžios laiką į tylos režimą,Versetzen Sie alle Weckzeiten für 5 Minuten in den Schlummermodus.,Activer la pause de l'alarme.,Přerušit budík po 10 minutách.,,alarm__snooze_alarm
nustatyti automobilio užrakto laiką į pasnūdimo režimą,Stellen Sie alle Wecker für 5 Minuten auf Schlummertaste.,Mettre l'alerte en mode pause.,Ztlumit budík po 10 minutách.,,alarm__snooze_alarm
nustatyti pietų valandą į koncentracijos momentą,Aktivieren Sie den Schlummermodus für alle Alarme für 5 Minuten.,Pause pour l'alarme.,Suspendovat budík po 10 minutách.,,alarm__snooze_alarm
